id,a1,a2,a3,a4,b,c,question,options,correct,tags,cefr
1,1.5,0.3,0.8,0.4,-0.8,0.25,Which sentence uses the present perfect tense correctly?,"['She has go to the market.', 'She have gone to the market.', 'She has gone to the market.', 'She is going to the market.']",3,['grammar'],A2
2,0.4,1.8,0.6,0.3,0.1,0.15,Choose the word that means 'abundant'.,"['scarce', 'plentiful', 'rare', 'few']",2,['vocabulary'],B1
4,0.6,0.4,1.2,0.8,-0.2,0.2,Which sentence demonstrates correct parallel structure?,"['He likes to swim, to bike, and run.', 'He likes swimming, biking, and to run.', 'He likes to swim, to bike, and to run.', 'He likes swimming, biking, and running.']",3,['writing_mechanics'],B2
5,1.2,0.3,0.5,1.1,1.1,0.18,Identify the correct use of the passive voice.,"['They built the house.', 'The house built them.', 'The house was built by them.', 'They are building the house.']",3,['grammar'],B2
6,0.3,1.4,0.4,0.7,0.9,0.1,What is the synonym for 'ubiquitous' ?,"['rare', 'common', 'scarce', 'unique']",2,['vocabulary'],C1
11,1.7,0.2,0.5,0.9,-0.5,0.2,Which verb tense describes an action that began in the past and continues to the present?,"['Simple Past', 'Present Perfect', 'Past Perfect', 'Present Continuous']",2,['grammar'],B1
12,0.3,1.6,0.4,0.6,0.8,0.12,Select the antonym for 'benevolent'.,"['kind', 'generous', 'malevolent', 'compassionate']",3,['vocabulary'],C1
14,0.4,0.3,1.6,0.8,0.9,0.1,Identify the sentence that uses commas correctly in a list.,"['I like apples oranges and bananas.', 'I like apples, oranges, and bananas.', 'I like apples, oranges and bananas.', 'I like apples oranges, and bananas.']",2,['writing_mechanics'],B1
16,1.4,0.2,0.6,0.9,0.7,0.2,What is the correct conditional sentence?,"['If I would have known, I would tell you.', 'If I knew, I would tell you.', 'If I had known, I would have told you.', 'If I know, I tell you.']",3,['grammar'],C1
17,0.3,1.5,0.7,0.5,-0.1,0.15,Choose the best definition for 'ephemeral'.,"['lasting a short time', 'lasting forever', 'difficult to understand', 'easy to remember']",1,['vocabulary'],C2
20,0.8,0.6,0.9,1.1,0,0.2,Which word has a 'sh' sound?,"['measure', 'pleasure', 'sugar', 'all of the above']",4,['pronunciation'],B1
